# Tools/apidoc_secrets.txt -- GENERATED, do not edit by hand.
#
# Source: the client's own APIDocumentation, exported by
# Tools/APIDump and converted by Tools/apidoc_import.py.
# Regenerate after every content patch.
#
#   H | build | interface | generated
#   F | function            | secret return aspects | structures with secret fields
#   A | function            | secret argument policy | aspects added
#   X | function            | forbidden aspects checked (argument)
#   S | structure | field   | ConditionalSecret,NeverSecret,...
#
# Only F records taint a value in Tools/lint_secret_values.py.
# The rest are recorded so the file stays useful as the linter grows.

H|12.1.0|120100|2026-09-13
A|C_AuctionHouse.QueryBids|AllowedWhenUntainted|
A|C_AuctionHouse.QueryOwnedAuctions|AllowedWhenUntainted|
A|C_AuctionHouse.RefreshCommoditySearchResults|AllowedWhenUntainted|
A|C_AuctionHouse.RefreshItemSearchResults|AllowedWhenUntainted|
A|C_AuctionHouse.RequestMoreCommoditySearchResults|AllowedWhenUntainted|
A|C_AuctionHouse.RequestMoreItemSearchResults|AllowedWhenUntainted|
A|C_AuctionHouse.RequestOwnedAuctionBidderInfo|AllowedWhenUntainted|
A|C_AuctionHouse.SearchForFavorites|AllowedWhenUntainted|
A|C_AuctionHouse.SearchForItemKeys|AllowedWhenUntainted|
A|C_AuctionHouse.SendBrowseQuery|AllowedWhenUntainted|
A|C_AuctionHouse.SendSearchQuery|AllowedWhenUntainted|
A|C_AuctionHouse.SendSellSearchQuery|AllowedWhenUntainted|
A|C_AuctionHouse.SetFavoriteItem|AllowedWhenUntainted|
A|C_AuctionHouse.StartCommoditiesPurchase|AllowedWhenUntainted|
A|C_AuraContainerUtil.ProcessAuraTooltipBackdropOptions|AllowedWhenUntainted|
A|C_AuraContainerUtil.ProcessAuraTooltipNineSliceOptions|AllowedWhenUntainted|
A|C_AuraContainerUtil.ProcessAuraTooltipTextureSliceOptions|AllowedWhenUntainted|
A|C_AuraContainerUtil.ProcessCustomAuraButtonApplicationBarOptions|AllowedWhenUntainted|
A|C_AuraContainerUtil.ProcessCustomAuraButtonApplicationCountOptions|AllowedWhenUntainted|
A|C_AuraContainerUtil.ProcessCustomAuraButtonDispelTypeTextOptions|AllowedWhenUntainted|
A|C_AuraContainerUtil.ProcessCustomAuraButtonDispelTypeTextureOptions|AllowedWhenUntainted|
A|C_AuraContainerUtil.ProcessCustomAuraButtonDurationBarOptions|AllowedWhenUntainted|
A|C_AuraContainerUtil.ProcessCustomAuraButtonDurationTextOptions|AllowedWhenUntainted|
A|C_AutoComplete.GetAutoCompletePresenceID|AllowedWhenUntainted|
A|C_AutoComplete.GetAutoCompleteResults|AllowedWhenUntainted|
A|C_AutoComplete.IsRecognizedName|AllowedWhenUntainted|
A|C_AzeriteEmpoweredItem.CanSelectPower|AllowedWhenUntainted|
A|C_AzeriteEmpoweredItem.ConfirmAzeriteEmpoweredItemRespec|AllowedWhenUntainted|
A|C_AzeriteEmpoweredItem.GetAllTierInfoByItemID|AllowedWhenUntainted|
A|C_AzeriteEmpoweredItem.GetAllTierInfo|AllowedWhenUntainted|
A|C_AzeriteEmpoweredItem.GetPowerInfo|AllowedWhenUntainted|
A|C_AzeriteEmpoweredItem.GetPowerText|AllowedWhenUntainted|
A|C_AzeriteEmpoweredItem.GetSpecsForPower|AllowedWhenUntainted|
A|C_AzeriteEmpoweredItem.HasAnyUnselectedPowers|AllowedWhenUntainted|
A|C_AzeriteEmpoweredItem.HasBeenViewed|AllowedWhenUntainted|
A|C_AzeriteEmpoweredItem.IsAzeriteEmpoweredItemByID|AllowedWhenUntainted|
A|C_AzeriteEmpoweredItem.IsAzeriteEmpoweredItem|AllowedWhenUntainted|
A|C_AzeriteEmpoweredItem.IsAzeritePreviewSourceDisplayable|AllowedWhenUntainted|
A|C_AzeriteEmpoweredItem.IsPowerAvailableForSpec|AllowedWhenUntainted|
A|C_AzeriteEmpoweredItem.IsPowerSelected|AllowedWhenUntainted|
A|C_AzeriteEmpoweredItem.SelectPower|AllowedWhenUntainted|
A|C_AzeriteEmpoweredItem.SetHasBeenViewed|AllowedWhenUntainted|
A|C_AzeriteEssence.ActivateEssence|AllowedWhenUntainted|
